,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,Zack Snyder's Justice League,2021,8.2,54.0,241653,,242
1,Avengers: Endgame,2019,8.4,78.0,848979,858.37,181
2,Sound of Metal,2019,7.8,82.0,53415,,120
3,The Trial of the Chicago 7,2020,7.8,76.0,122923,,129
4,Minari,2020,7.6,89.0,25178,,115
5,Soul,2020,8.1,83.0,214929,,100
6,Sleepers,1996,7.6,49.0,190207,49.1,147
7,Another Round,2020,7.8,80.0,54995,,117
8,Knives Out,2019,7.9,82.0,476480,165.36,130
9,The Shawshank Redemption,1994,9.3,80.0,2371454,28.34,142
10,The Dark Knight,2008,9.0,84.0,2335028,534.86,152
11,Avengers: Infinity War,2018,8.4,68.0,860196,678.82,149
12,The Godfather,1972,9.2,100.0,1642220,134.97,175
13,Once Upon a Time... In Hollywood,2019,7.6,83.0,569295,142.5,161
14,The Gentlemen,2019,7.8,51.0,254349,,113
15,Parasite,2019,8.6,96.0,585004,53.37,132
16,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,667797,317.58,152
17,Joker,2019,8.4,59.0,974401,335.45,122
18,The Sound of Music,1965,8.0,63.0,209123,163.21,172
19,Guardians of the Galaxy,2014,8.0,76.0,1055421,333.18,121
20,Blade Runner 2049,2017,8.0,81.0,471739,92.05,164
21,Watchmen,2009,7.6,56.0,509350,107.51,162
22,Pulp Fiction,1994,8.9,94.0,1847744,107.93,154
23,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1680154,315.54,178
24,Captain America: Civil War,2016,7.8,75.0,675945,408.08,147
25,The Wolf of Wall Street,2013,8.2,75.0,1209434,116.9,180
26,Thor: Ragnarok,2017,7.9,74.0,602918,315.06,130
27,Deadpool 2,2018,7.7,66.0,489574,324.59,119
28,Interstellar,2014,8.6,74.0,1538835,188.02,169
29,Almost Famous,2000,7.9,90.0,255103,32.53,122
30,Inception,2010,8.8,74.0,2094451,292.58,148
31,The Ten Commandments,1956,7.9,,64605,93.74,220
